Title: UV Luminosity Functions at redshifts z ~ 4 to z ~ 10: 
      10000 Galaxies from HST Legacy Fields 
Authors: Bouwens R.J., Illingworth G.D., Oesch P.A., Trenti M., Labbe I., 
        Bradley L., Carollo M., van Dokkum P.G., Gonzalez V., Holwerda B., 
        Franx M., Spitler L., Smit R., Magee D. 
Table: A complete list of the sources included in our z ~ 4, z ~ 5, z ~ 6, 
       z ~ 7, z ~ 8, and z ~ 10 samples
================================================================================
Byte-by-byte Description of file: apj508910t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1- 19 A19    ---      ID     Source identifier
  21- 22 I2     h        RAh    Hour of Right Ascension (J2000)
  24- 25 I2     min      RAm    Minute of Right Ascension (J2000)
  27- 31 F5.2   s        RAs    Second of Right Ascension (J2000)
      33 A1     ---      DE-    Sign of the Declination (J2000)
  34- 35 I2     deg      DEd    Degree of Declination (J2000)
  37- 38 I2     arcmin   DEm    Arcminute of Declination (J2000)
  40- 43 F4.1   arcsec   DEs    Arcsecond of Declination (J2000)
  45- 49 F5.2   mag      F160W  Measured F160W-band AB magnitude 
  51- 52 I2     ---      rset   Sample number (1)
  54- 55 I2     ---      dset   Data set number (2)
  57- 61 F5.2   ---      zphot  Photometric Redshift as estimated by EAZY (3)
      62 A1     ---    f_zphot  [*] Flag on zphot (4)
XDFB-2398848014     03 32 39.88 -27 48 01.4 28.06  4  3  3.77
XDFB-2401147590     03 32 40.11 -27 47 59.0 28.74  4  3  4.01
XDFB-2381347579     03 32 38.13 -27 47 57.9 29.41  4  3  3.68
XDFB-2397847555     03 32 39.78 -27 47 55.5 29.04  4  3  3.87
XDFB-2387447544     03 32 38.74 -27 47 54.4 29.45  4  3  3.15
XDFB-2397547547     03 32 39.75 -27 47 54.7 26.79  4  3  4.48*
XDFB-2390647533     03 32 39.06 -27 47 53.3 29.07  4  3  3.32
XDFB-2389847509     03 32 38.98 -27 47 50.9 28.94  4  3  3.77
XDFB-2400447486     03 32 40.04 -27 47 48.6 27.55  4  3  4.48
XDFB-2398147488     03 32 39.81 -27 47 48.8 26.62  4  3  4.27
XDFB-2410247483     03 32 41.02 -27 47 48.3 27.91  4  3  3.36*
XDFB-2410147465     03 32 41.01 -27 47 46.5 29.02  4  3  2.76
XDFB-2384947463     03 32 38.49 -27 47 46.3 30.17  4  3  3.58*
XDFB-2381047460     03 32 38.10 -27 47 46.0 28.86  4  3  3.68
XDFB-2381847458     03 32 38.18 -27 47 45.8 29.21  4  3  3.32
XDFB-2404547453     03 32 40.45 -27 47 45.3 27.02  4  3  3.15*
XDFB-2412574494     03 32 41.25 -27 47 44.9 27.29  4  3  3.82
XDFB-2416547429     03 32 41.65 -27 47 42.9 28.43  4  3  3.19*
XDFB-2407847426     03 32 40.78 -27 47 42.6 29.36  4  3  3.77
XDFB-2385447446     03 32 38.54 -27 47 44.6 28.35  4  3  3.23
XDFB-2408947419     03 32 40.89 -27 47 41.9 28.64  4  3  4.01
XDFB-2367648053     03 32 36.76 -27 48 05.3 29.20  4  3  3.40
XDFB-2364148038     03 32 36.41 -27 48 03.8 28.03  4  3  2.95*
